vowel_length_contrast,language,phone_dur_uttr,model,syll_pos,derivative_cs,derivative_cl,eff_size,phone_dur_cs,phone_dur_cl,derivative_nc,phone_dur_nc
unrestricted,Gubeeher,0.06458333333333262,vln_mod_mono_baseline,nonfinal,0.9822539643975503,1.2329114949856113,0.25065753058806095,0.06550908466670202,0.10106545153184607,NA,NA
unrestricted,Gubeeher,0.06458333333333262,vln_mod_mono_baseline,final,0.9822539643975503,1.2329114949856113,0.25065753058806095,0.06550908466670202,0.10106545153184607,NA,NA
unrestricted,Bora,0.08342857142856917,vln_mod_mono_baseline,nonfinal,0.8839691980546682,1.034613280427088,0.15064408237241977,0.07459083098647858,0.12618503080432592,NA,NA
unrestricted,Bora,0.08342857142856917,vln_mod_mono_baseline,final,0.8839691980546682,1.034613280427088,0.15064408237241977,0.07459083098647858,0.12618503080432592,NA,NA
unrestricted,Arapaho,0.08819999999999709,vln_mod_mono_baseline,nonfinal,0.8582501124201336,0.9867687214428766,0.12851860902274304,0.08981172572062511,0.14503628983464725,NA,NA
unrestricted,Arapaho,0.08819999999999709,vln_mod_mono_baseline,final,0.8582501124201336,0.9867687214428766,0.12851860902274304,0.08981172572062511,0.14503628983464725,NA,NA
restricted,Ruuli,0.0696545454545437,vln_mod_mono_baseline,nonfinal,1.2031590388041913,1.327855375483189,0.12469633667899771,0.06863276815785282,0.10880884821425256,NA,NA
unrestricted,Beja,0.07982608695652167,vln_mod_mono_baseline,nonfinal,1.0054581497067616,1.1242030156179972,0.11874486591123556,0.07619162952120774,0.12495125396595153,NA,NA
unrestricted,Beja,0.07982608695652167,vln_mod_mono_baseline,final,1.0054581497067616,1.1242030156179972,0.11874486591123556,0.07619162952120774,0.12495125396595153,NA,NA
restricted,Kamas,0.11083333333333864,vln_mod_mono_baseline,nonfinal,1.3694217389912389,1.4864848509292816,0.11706311193804275,0.10893751122468309,0.18394145791877395,NA,NA
unrestricted,Dolgan,0.07919444444444441,vln_mod_mono_baseline,nonfinal,1.040341078057505,1.151573733468858,0.11123265541135297,0.07360944319132315,0.12186216304097128,NA,NA
unrestricted,Dolgan,0.07919444444444441,vln_mod_mono_baseline,final,1.040341078057505,1.151573733468858,0.11123265541135297,0.07360944319132315,0.12186216304097128,NA,NA
unrestricted,Fanbyak,0.0784722222222223,vln_mod_mono_baseline,nonfinal,1.0756340400348563,1.1701598014877135,0.09452576145285718,0.0831205877518113,0.1307897674323892,NA,NA
unrestricted,Fanbyak,0.0784722222222223,vln_mod_mono_baseline,final,1.0756340400348563,1.1701598014877135,0.09452576145285718,0.0831205877518113,0.1307897674323892,NA,NA
unrestricted,Movima,0.07758620689654977,vln_mod_mono_baseline,nonfinal,1.114976328397077,1.2055908645840496,0.09061453618697257,0.07620739205859421,0.12315473044986314,NA,NA
unrestricted,Movima,0.07758620689654977,vln_mod_mono_baseline,final,1.114976328397077,1.2055908645840496,0.09061453618697257,0.07620739205859421,0.12315473044986314,NA,NA
unrestricted,Evenki,0.081155172413793,vln_mod_mono_baseline,nonfinal,1.0691043006509915,1.1581669387763505,0.08906263812535897,0.07206201302891321,0.1218782079273622,NA,NA
unrestricted,Evenki,0.081155172413793,vln_mod_mono_baseline,final,1.0691043006509915,1.1581669387763505,0.08906263812535897,0.07206201302891321,0.1218782079273622,NA,NA
unrestricted,Svan,0.07960784313725494,vln_mod_mono_baseline,nonfinal,1.0893540480800823,1.1687844565524408,0.0794304084723585,0.08862582144022513,0.13721065831681592,NA,NA
unrestricted,Svan,0.07960784313725494,vln_mod_mono_baseline,final,1.0893540480800823,1.1687844565524408,0.0794304084723585,0.08862582144022513,0.13721065831681592,NA,NA
unrestricted,Resigaro,0.09364285714285696,vln_mod_mono_baseline,nonfinal,1.0737269908092095,1.121334542095509,0.047607551286299454,0.08328892431447868,0.14256634242300453,NA,NA
unrestricted,Resigaro,0.09364285714285696,vln_mod_mono_baseline,final,1.0737269908092095,1.121334542095509,0.047607551286299454,0.08328892431447868,0.14256634242300453,NA,NA
restricted,Mojeno_Trinitario,0.0928888888888894,vln_mod_mono_baseline,nonfinal,1.340823988534634,1.2788664136214045,-0.06195757491322951,0.09140199676547268,0.1501142053178607,NA,NA
restricted,Kamas,0.11083333333333864,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.5191611523417414,0.1126852697199641
none,Yongning_Na,0.08989743589743518,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.2721985864927454,0.09562457297144206
none,Yongning_Na,0.08989743589743518,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.2721985864927454,0.09562457297144206
none,Urum,0.0753921568627451,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.2611451270307938,0.08403284366154778
none,Urum,0.0753921568627451,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.2611451270307938,0.08403284366154778
none,Dalabon,0.06889473684210363,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.173013911994314,0.07690359344350188
none,Dalabon,0.06889473684210363,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.173013911994314,0.07690359344350188
none,Yali,0.05786206896551715,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.169305653065944,0.062764428998116
none,Yali,0.05786206896551715,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.169305653065944,0.062764428998116
none,Lower_Sorbian,0.09714705882353045,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.1633517646654212,0.10684293954666833
none,Lower_Sorbian,0.09714705882353045,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.1633517646654212,0.10684293954666833
none,Sadu,0.09033333333333313,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.1274743819540411,0.1005337686822336
none,Sadu,0.09033333333333313,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.1274743819540411,0.1005337686822336
none,Gurindji,0.0702000000000074,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.1270610979328133,0.07998201235136487
none,Gurindji,0.0702000000000074,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.1270610979328133,0.07998201235136487
none,Nuu,0.0890909090909088,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.118758081529947,0.09337694486251079
none,Nuu,0.0890909090909088,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.118758081529947,0.09337694486251079
restricted,Mojeno_Trinitario,0.0928888888888894,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.1137247997807798,0.0954143025993203
none,Jejuan,0.07049152542372868,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.0975283260243884,0.07327300954930263
none,Jejuan,0.07049152542372868,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.0975283260243884,0.07327300954930263
restricted,Ruuli,0.0696545454545437,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.0611854319040326,0.07555206543571802
none,Sanzhi_Dargwa,0.08172131147540972,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.0276067394809907,0.08092357066375734
none,Sanzhi_Dargwa,0.08172131147540972,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.0276067394809907,0.08092357066375734
none,English,0.0808645833333325,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.0268915936753054,0.09610014383252448
none,English,0.0808645833333325,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.0268915936753054,0.09610014383252448
none,Veraa,0.06339999999999986,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,0.9846036006551095,0.06855456288015331
none,Veraa,0.06339999999999986,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,0.9846036006551095,0.06855456288015331
restricted,Kamas,0.11083333333333864,vln_mod_mono_height,nonfinal,1.1505738782404684,1.4149354806205494,0.264361602380081,0.10387697040339254,0.18045342657688618,NA,NA
unrestricted,Gubeeher,0.06458333333333262,vln_mod_mono_height,nonfinal,1.0135847199945758,1.26103927649579,0.24745455650121428,0.06433088704765641,0.10017589394279869,NA,NA
unrestricted,Gubeeher,0.06458333333333262,vln_mod_mono_height,final,1.0135847199945758,1.26103927649579,0.24745455650121428,0.06433088704765641,0.10017589394279869,NA,NA
unrestricted,Arapaho,0.08819999999999709,vln_mod_mono_height,nonfinal,0.8247556908931308,0.9588428835651808,0.13408719267204994,0.08887639534677665,0.1441899439544453,NA,NA
unrestricted,Arapaho,0.08819999999999709,vln_mod_mono_height,final,0.8247556908931308,0.9588428835651808,0.13408719267204994,0.08887639534677665,0.1441899439544453,NA,NA
restricted,Ruuli,0.0696545454545437,vln_mod_mono_height,nonfinal,1.2189639053281631,1.33975097986605,0.12078707453788695,0.06764992598344526,0.10817222119137558,NA,NA
unrestricted,Bora,0.08342857142856917,vln_mod_mono_height,nonfinal,0.9246324931178052,1.0410491903911634,0.11641669727335824,0.07374956132310453,0.12552999846257148,NA,NA
unrestricted,Bora,0.08342857142856917,vln_mod_mono_height,final,0.9246324931178052,1.0410491903911634,0.11641669727335824,0.07374956132310453,0.12552999846257148,NA,NA
unrestricted,Resigaro,0.09364285714285696,vln_mod_mono_height,nonfinal,0.9459975841514812,1.0607226354999444,0.11472505134846323,0.08211786920949077,0.14150223986636445,NA,NA
unrestricted,Resigaro,0.09364285714285696,vln_mod_mono_height,final,0.9459975841514812,1.0607226354999444,0.11472505134846323,0.08211786920949077,0.14150223986636445,NA,NA
unrestricted,Beja,0.07982608695652167,vln_mod_mono_height,nonfinal,1.0599688314671951,1.1405744133901052,0.08060558192291012,0.07521895971477584,0.12425599414267002,NA,NA
unrestricted,Beja,0.07982608695652167,vln_mod_mono_height,final,1.0599688314671951,1.1405744133901052,0.08060558192291012,0.07521895971477584,0.12425599414267002,NA,NA
unrestricted,Dolgan,0.07919444444444441,vln_mod_mono_height,nonfinal,1.088838192025765,1.1643939399079706,0.07555574788220554,0.07262773322925263,0.12117222375711016,NA,NA
unrestricted,Dolgan,0.07919444444444441,vln_mod_mono_height,final,1.088838192025765,1.1643939399079706,0.07555574788220554,0.07262773322925263,0.12117222375711016,NA,NA
unrestricted,Movima,0.07758620689654977,vln_mod_mono_height,nonfinal,1.141289339244178,1.208390378464319,0.06710103922014099,0.0755510106838649,0.12282170021451343,NA,NA
unrestricted,Movima,0.07758620689654977,vln_mod_mono_height,final,1.141289339244178,1.208390378464319,0.06710103922014099,0.0755510106838649,0.12282170021451343,NA,NA
unrestricted,Fanbyak,0.0784722222222223,vln_mod_mono_height,nonfinal,1.1132824260018381,1.179711398781258,0.06642897277941984,0.08237253870706401,0.13034867144102766,NA,NA
unrestricted,Fanbyak,0.0784722222222223,vln_mod_mono_height,final,1.1132824260018381,1.179711398781258,0.06642897277941984,0.08237253870706401,0.13034867144102766,NA,NA
unrestricted,Svan,0.07960784313725494,vln_mod_mono_height,nonfinal,1.1235315968671777,1.1753891372547898,0.05185754038761203,0.0879043084827056,0.1367716178175662,NA,NA
unrestricted,Svan,0.07960784313725494,vln_mod_mono_height,final,1.1235315968671777,1.1753891372547898,0.05185754038761203,0.0879043084827056,0.1367716178175662,NA,NA
unrestricted,Evenki,0.081155172413793,vln_mod_mono_height,nonfinal,1.125776391838862,1.1727947808783945,0.04701838903953259,0.07108651692460925,0.12114753420978197,NA,NA
unrestricted,Evenki,0.081155172413793,vln_mod_mono_height,final,1.125776391838862,1.1727947808783945,0.04701838903953259,0.07108651692460925,0.12114753420978197,NA,NA
restricted,Mojeno_Trinitario,0.0928888888888894,vln_mod_mono_height,nonfinal,1.2727920821760108,1.2461605857874147,-0.026631496388596076,0.09010266779433107,0.148907965686258,NA,NA
restricted,Kamas,0.11083333333333864,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.3373920969432795,0.10815156170206024
none,Urum,0.0753921568627451,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.2908528833746047,0.08284810503741175
none,Urum,0.0753921568627451,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.2908528833746047,0.08284810503741175
none,Yali,0.05786206896551715,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.2196733829168416,0.061712049225778956
none,Yali,0.05786206896551715,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.2196733829168416,0.061712049225778956
none,Yongning_Na,0.08989743589743518,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.2007164619847188,0.0949206502982781
none,Yongning_Na,0.08989743589743518,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.2007164619847188,0.0949206502982781
none,Dalabon,0.06889473684210363,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.1917966753465237,0.07587970397241402
none,Dalabon,0.06889473684210363,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.1917966753465237,0.07587970397241402
none,Gurindji,0.0702000000000074,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.1337051431405953,0.07891215115285215
none,Gurindji,0.0702000000000074,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.1337051431405953,0.07891215115285215
none,Jejuan,0.07049152542372868,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.1014872668901887,0.07234083253134266
none,Jejuan,0.07049152542372868,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.1014872668901887,0.07234083253134266
none,Sanzhi_Dargwa,0.08172131147540972,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.0923847502684048,0.080098247644705
none,Sanzhi_Dargwa,0.08172131147540972,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.0923847502684048,0.080098247644705
none,Nuu,0.0890909090909088,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.0868095541232137,0.09278900061807917
none,Nuu,0.0890909090909088,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.0868095541232137,0.09278900061807917
none,English,0.0808645833333325,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.0864020750478431,0.09529256174498779
none,English,0.0808645833333325,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.0864020750478431,0.09529256174498779
none,Sadu,0.09033333333333313,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.0777680581832705,0.09976152236736134
none,Sadu,0.09033333333333313,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.0777680581832705,0.09976152236736134
restricted,Ruuli,0.0696545454545437,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.073445617809643,0.07475761399731971
none,Lower_Sorbian,0.09714705882353045,vln_mod_mono_height,nonfinal,NA,NA,NA,NA,NA,1.025248412120039,0.10550508736704906
none,Lower_Sorbian,0.09714705882353045,vln_mod_mono_height,final,NA,NA,NA,NA,NA,1.025248412120039,0.10550508736704906
